Comment,Designator,Footprint,LCSC Part #
"100n","C1, C101, C105, C106, C107, C108, C109, C110, C111, C112, C113, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C135, C139, C204, C205, C206, C207, C212, C213, C214, C215, C220, C221, C222, C223, C224, C225, C226, C411, C420, C430, C431, C440, C460, C461","C0603","C14663"
"USB-B","J2","CONN-USB-MINI-B","C91144"
"Jumper","J3","",""
"4.7k","R1, R412, R302, R303, R307, R308, R313","R0603","C23162"
"Switch SPST","S1","SMD-2_2.9x3.9x1.7","C115357"
"LIS2DW12TR","U1","LGA12","C189624"
"4.7u","C102, C103, C104, C137, C138, C140, C427","C0603","C19666"
"2.2u","C114, C131","C0603","C23630"
"12p","C115, C116","C0603","C38523"
"18p","C132, C136","C0603","C1647"
"B5819W","D101, D107, D416, D417, D300, D301, D302, D303, D440, D441","SOD-123","C8598"
"SRV05-4-P-T7","D102, D200, D201, D202, D203, D204, D205","SOT23-6","C85364"
"LED-RED-0603","D103","LED-0603","C2286"
"LED-GREEN-0603","D104","LED-0603","C72043"
"LED-BLUE-0603","D105","LED-0603","C72041"
"LED-YELLOW-0603","D106","LED-0603","C72038"
"SDFL2012Q3R3KTF","L101","L0805","C51725"
"4.7k","R101, R107, R108, R109, R110, R111, R112, R113, R115, R117, R118, R125, R126","R0603-4","C66697"
"10k","R102, R121, R122, R123, R127, R128, R421, R300, R301","R0603","C25804"
"100","R104, R106","R0603","C22775"
"47","R114","R0603","C23182"
"510","R116, R119, R120, R124, R212, R213, R214, R215","R0603","C23193"
"10k","R129, R130, R208, R210, R304, R305, R306","R0603-4","C29718"
"0","R131","R0402","C17168"
"AMS1117-3.3","U101","SOT-223","C6186"
"LMV324IPWR","U102, U104, U106, U107, U108, U109","TSSOP14","C398929"
"XC6206P332MR","U111","SOT-23","C5446"
"32.768 kHz","Y101","SMD2012","C97602"
"8.0 MHz","Y102","SMD5032","C115962"
"1n","C200, C202, C203, C216, C217, C218, C219","C0603","C1588"
"10n","C201, C208, C209, C210, C211, C428","C0603","C57112"
"2.2u","C227, C228, C229","C0805","C49217"
"P6SMB6.8CA","D206, D421","SMB","C78395"
"4.7k","R200, R201, R202, R203, R204, R205, R207","R0603-4","C1980"
"680k","R206, R209, R211","R0603-4","C145776"
"100u","C410","TANT-B","C16133"
"1N4148WS","D410, D412, D413, D414","SOD-323","C2128"
"PSM712-LF","D411, D304, D305","SOT-23","C32677"
"ZMM3V3","D415","SOD80","C8056"
"SMCJ30CA","D418","SMC","C133648"
"SMD1206P050TF/24","F410, F300","SMD1206","C209741"
"AO3400A","Q410, Q411, Q313","SOT-23","C344010"
"33k","R410, R411, R450","R0603","C4216"
"6.8k","R413","R0603","C23212"
"10u","C421, C422, C423, C424","C1206","C13585"
"10u","C425, C426, C300, C304, C305, C306, C307, C308, C309, C310, C311, C312, C313","C0805","C15850"
"220p","C429","C0603","C1603"
"SS34","D420","SMA","C8678"
"2.2uH","L420","L1210","C36828"
"MWSA0503-10uH","L421","MWSA0503","C139506"
"1","R420","R0603","C22936"
"68k","R422","R0603","C23231"
"12k","R423","R0603","C22790"
"22u","C450, C451","C0603","C59461"
"Molex MicroSD 47219-2001","J450","SDAMB-012",""
"AO3401A","Q300, Q301, Q302, Q303, Q304","SOT-23","C15127"
"AUIPS2041LTR","Q305, Q306, Q307, Q308, Q309, Q310, Q311, Q312","SOT-223","C113610"
"0","R310","R0603","C21189"
"0.1","R314","R1206","C25334"
"RZ7899","U300, U303","SO8","C92373"
"ULN2003AD","U301, U304","SOIC16","C7512"
"TC4427","U302","SO8","C20551"
"PESD1CAN","D430","SOT-23","C343993"
"120","R430","R0603","C22787"
"1k","R440","R0603","C21190"
"TJA1021T/20/CM","U440","SO8","C128810"
"10","R461, R462, R463, R464, R466, R467, R468, R469","R0603","C22859"
"SN74LVC4245APWR","U460","TSSOP24","C7859"
"STM32H743IIT6","U105","LQFP176","C89597"
"0.5","R2, R3, R4, R5","R2512","C27777"
"AP2331TDSA-7","U103, U480","SOT-23","C183303"
"LMR14030","U420","SOP8","C182078"
"TJA1051T/1J","U430","SO8","C92211"
